onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
0	0.0002	1	SyncStatus	Sync On
1.64	0.0002	411	SyncStatus	Sync On
1.9698	0	493.45	n/a	QRS
2.8898	0	723.45	n/a	QRS
3.64	0.0002	911	SyncStatus	Sync On
3.8398	0	960.95	n/a	QRS
4.154	0.74	1039.5	n/a	boundary
4.9	0.0002	1226	SyncStatus	Sync On
5.0398	0	1260.95	n/a	QRS
5.9498	0	1488.45	n/a	QRS
6.8198	0	1705.95	n/a	QRS
6.9	0.0002	1726	SyncStatus	Sync On
7.6598	0	1915.95	n/a	QRS
8.5098	0	2128.45	n/a	QRS
8.9	0.0002	2226	SyncStatus	Sync On
9.3898	0	2348.45	n/a	QRS
10.3198	0	2580.95	n/a	QRS
10.9	0.0002	2726	SyncStatus	Sync On
11.138	1.592	2785.5	n/a	boundary
11.308	0.0002	2828	SyncStatus	Sync On
11.5478	0	2887.95	n/a	QRS
12.4578	0	3115.45	n/a	QRS
13.308	0.0002	3328	SyncStatus	Sync On
13.3878	0	3347.95	n/a	QRS
14.3278	0	3582.95	n/a	QRS
15.2778	0	3820.45	n/a	QRS
15.308	0.0002	3828	SyncStatus	Sync On
15.802	0.604	3951.5	n/a	boundary
15.806	0.492	3952.5	n/a	boundary
15.9018	0	3976.45	n/a	QRS
16.212	0.0002	4054	SyncStatus	Sync On
16.7318	0	4183.95	n/a	QRS
17.6218	0	4406.45	n/a	QRS
18.212	0.0002	4554	SyncStatus	Sync On
18.5218	0	4631.45	n/a	QRS
19.4818	0	4871.45	n/a	QRS
19.974	1.1	4994.5	n/a	boundary
20.1018	0	5026.45	n/a	QRS
20.9018	0	5226.45	n/a	QRS
21.112	0.0002	5279	SyncStatus	Sync On
21.7218	0	5431.45	n/a	QRS
22.5118	0	5628.95	n/a	QRS
23.112	0.0002	5779	SyncStatus	Sync On
23.3118	0	5828.95	n/a	QRS
24.1318	0	6033.95	n/a	QRS
24.9718	0	6243.95	n/a	QRS
25.112	0.0002	6279	SyncStatus	Sync On
25.8618	0	6466.45	n/a	QRS
26.7318	0	6683.95	n/a	QRS
27.112	0.0002	6779	SyncStatus	Sync On
27.6018	0	6901.45	n/a	QRS
28.4418	0	7111.45	n/a	QRS
29.112	0.0002	7279	SyncStatus	Sync On
29.2718	0	7318.95	n/a	QRS
30.1018	0	7526.45	n/a	QRS
30.9618	0	7741.45	n/a	QRS
31.112	0.0002	7779	SyncStatus	Sync On
31.8218	0	7956.45	n/a	QRS
32.6618	0	8166.45	n/a	QRS
33.112	0.0002	8279	SyncStatus	Sync On
33.5018	0	8376.45	n/a	QRS
34.3718	0	8593.95	n/a	QRS
35.112	0.0002	8779	SyncStatus	Sync On
35.2918	0	8823.95	n/a	QRS
36.1818	0	9046.45	n/a	QRS
36.77	1.1	9193.5	n/a	boundary
36.774	0.6	9194.5	n/a	boundary
37.0718	0	9268.95	n/a	QRS
37.412	0.0002	9354	SyncStatus	Sync On
37.9518	0	9488.95	n/a	QRS
38.9218	0	9731.45	n/a	QRS
39.412	0.0002	9854	SyncStatus	Sync On
39.8718	0	9968.95	n/a	QRS
40.7718	0	10193.95	n/a	QRS
40.834	1.704	10209.5	n/a	boundary
40.838	0.604	10210.5	n/a	boundary
40.842	4.904	10211.5	n/a	boundary
40.846	1.952	10212.5	n/a	boundary
41.4078	0	10352.95	n/a	QRS
42.2278	0	10557.95	n/a	QRS
42.248	0.0002	10563	SyncStatus	Sync On
43.0478	0	10762.95	n/a	QRS
43.8778	0	10970.45	n/a	QRS
44.248	0.0002	11063	SyncStatus	Sync On
44.7278	0	11182.95	n/a	QRS
45.5278	0	11382.95	n/a	QRS
46.248	0.0002	11563	SyncStatus	Sync On
46.3378	0	11585.45	n/a	QRS
47.1678	0	11792.95	n/a	QRS
48.0178	0	12005.45	n/a	QRS
48.248	0.0002	12063	SyncStatus	Sync On
48.8378	0	12210.45	n/a	QRS
49.6378	0	12410.45	n/a	QRS
50.248	0.0002	12563	SyncStatus	Sync On
50.4178	0	12605.45	n/a	QRS
51.1978	0	12800.45	n/a	QRS
51.9978	0	13000.45	n/a	QRS
52.248	0.0002	13063	SyncStatus	Sync On
52.8078	0	13202.95	n/a	QRS
53.6478	0	13412.95	n/a	QRS
54.248	0.0002	13563	SyncStatus	Sync On
54.4478	0	13612.95	n/a	QRS
55.2778	0	13820.45	n/a	QRS
56.1378	0	14035.45	n/a	QRS
56.248	0.0002	14063	SyncStatus	Sync On
56.9778	0	14245.45	n/a	QRS
57.8178	0	14455.45	n/a	QRS
58.248	0.0002	14563	SyncStatus	Sync On
58.6378	0	14660.45	n/a	QRS
59.4678	0	14867.95	n/a	QRS
60.248	0.0002	15063	SyncStatus	Sync On
60.3278	0	15082.95	n/a	QRS
61.1778	0	15295.45	n/a	QRS
62.0178	0	15505.45	n/a	QRS
62.248	0.0002	15563	SyncStatus	Sync On
62.8378	0	15710.45	n/a	QRS
63.6778	0	15920.45	n/a	QRS
64.248	0.0002	16063	SyncStatus	Sync On
64.5278	0	16132.95	n/a	QRS
65.3778	0	16345.45	n/a	QRS
66.2078	0	16552.95	n/a	QRS
66.248	0.0002	16563	SyncStatus	Sync On
67.0478	0	16762.95	n/a	QRS
67.8878	0	16972.95	n/a	QRS
68.248	0.0002	17063	SyncStatus	Sync On
68.7478	0	17187.95	n/a	QRS
69.6078	0	17402.95	n/a	QRS
70.248	0.0002	17563	SyncStatus	Sync On
70.4578	0	17615.45	n/a	QRS
71.2878	0	17822.95	n/a	QRS
72.1478	0	18037.95	n/a	QRS
72.248	0.0002	18063	SyncStatus	Sync On
73.0078	0	18252.95	n/a	QRS
73.8478	0	18462.95	n/a	QRS
74.248	0.0002	18563	SyncStatus	Sync On
74.6778	0	18670.45	n/a	QRS
75.5078	0	18877.95	n/a	QRS
76.248	0.0002	19063	SyncStatus	Sync On
76.3378	0	19085.45	n/a	QRS
77.1778	0	19295.45	n/a	QRS
78.0178	0	19505.45	n/a	QRS
78.248	0.0002	19563	SyncStatus	Sync On
78.8378	0	19710.45	n/a	QRS
79.6678	0	19917.95	n/a	QRS
80.248	0.0002	20063	SyncStatus	Sync On
80.5178	0	20130.45	n/a	QRS
81.3578	0	20340.45	n/a	QRS
82.2078	0	20552.95	n/a	QRS
82.248	0.0002	20563	SyncStatus	Sync On
83.0778	0	20770.45	n/a	QRS
83.9378	0	20985.45	n/a	QRS
84.248	0.0002	21063	SyncStatus	Sync On
84.8278	0	21207.95	n/a	QRS
85.7478	0	21437.95	n/a	QRS
86.248	0.0002	21563	SyncStatus	Sync On
86.6378	0	21660.45	n/a	QRS
87.4978	0	21875.45	n/a	QRS
88.248	0.0002	22063	SyncStatus	Sync On
88.3778	0	22095.45	n/a	QRS
89.2578	0	22315.45	n/a	QRS
90.1278	0	22532.95	n/a	QRS
90.248	0.0002	22563	SyncStatus	Sync On
91.0078	0	22752.95	n/a	QRS
91.8878	0	22972.95	n/a	QRS
92.248	0.0002	23063	SyncStatus	Sync On
92.7678	0	23192.95	n/a	QRS
93.5978	0	23400.45	n/a	QRS
94.248	0.0002	23563	SyncStatus	Sync On
94.4478	0	23612.95	n/a	QRS
95.3078	0	23827.95	n/a	QRS
96.1678	0	24042.95	n/a	QRS
96.248	0.0002	24063	SyncStatus	Sync On
97.0378	0	24260.45	n/a	QRS
97.9078	0	24477.95	n/a	QRS
98.248	0.0002	24563	SyncStatus	Sync On
98.7578	0	24690.45	n/a	QRS
99.6078	0	24902.95	n/a	QRS
100.248	0.0002	25063	SyncStatus	Sync On
100.4378	0	25110.45	n/a	QRS
101.2678	0	25317.95	n/a	QRS
102.0978	0	25525.45	n/a	QRS
102.248	0.0002	25563	SyncStatus	Sync On
102.9078	0	25727.95	n/a	QRS
103.7778	0	25945.45	n/a	QRS
104.248	0.0002	26063	SyncStatus	Sync On
104.6378	0	26160.45	n/a	QRS
105.4878	0	26372.95	n/a	QRS
106.248	0.0002	26563	SyncStatus	Sync On
106.3378	0	26585.45	n/a	QRS
106.782	4.408	26696.5	n/a	boundary
106.8898	0	26723.45	n/a	QRS
107.7098	0	26928.45	n/a	QRS
107.84	0.0002	26961	SyncStatus	Sync On
108.5098	0	27128.45	n/a	QRS
109.3198	0	27330.95	n/a	QRS
109.84	0.0002	27461	SyncStatus	Sync On
110.1498	0	27538.45	n/a	QRS
110.9998	0	27750.95	n/a	QRS
111.8398	0	27960.95	n/a	QRS
111.84	0.0002	27961	SyncStatus	Sync On
112.6798	0	28170.95	n/a	QRS
113.4998	0	28375.95	n/a	QRS
113.84	0.0002	28461	SyncStatus	Sync On
114.3298	0	28583.45	n/a	QRS
115.1798	0	28795.95	n/a	QRS
115.84	0.0002	28961	SyncStatus	Sync On
116.0198	0	29005.95	n/a	QRS
116.8298	0	29208.45	n/a	QRS
117.6498	0	29413.45	n/a	QRS
117.84	0.0002	29461	SyncStatus	Sync On
118.4898	0	29623.45	n/a	QRS
119.3598	0	29840.95	n/a	QRS
119.84	0.0002	29961	SyncStatus	Sync On
120.1998	0	30050.95	n/a	QRS
121.0498	0	30263.45	n/a	QRS
121.84	0.0002	30461	SyncStatus	Sync On
121.8898	0	30473.45	n/a	QRS
122.7598	0	30690.95	n/a	QRS
123.6298	0	30908.45	n/a	QRS
123.84	0.0002	30961	SyncStatus	Sync On
124.4898	0	31123.45	n/a	QRS
125.3198	0	31330.95	n/a	QRS
125.84	0.0002	31461	SyncStatus	Sync On
126.1898	0	31548.45	n/a	QRS
127.0498	0	31763.45	n/a	QRS
127.84	0.0002	31961	SyncStatus	Sync On
127.8998	0	31975.95	n/a	QRS
128.7298	0	32183.45	n/a	QRS
129.5998	0	32400.95	n/a	QRS
129.84	0.0002	32461	SyncStatus	Sync On
130.4498	0	32613.45	n/a	QRS
131.3198	0	32830.95	n/a	QRS
131.84	0.0002	32961	SyncStatus	Sync On
132.1898	0	33048.45	n/a	QRS
133.0598	0	33265.95	n/a	QRS
133.502	1.596	33376.5	n/a	boundary
133.866	3.552	33467.5	n/a	boundary
134.3518	0	33588.95	n/a	QRS
134.692	0.0002	33674	SyncStatus	Sync On
135.1318	0	33783.95	n/a	QRS
135.9518	0	33988.95	n/a	QRS
