onset	duration	sample	type	value
92.0704	0.0002	23018.6	Stimulus	S  5
92.4874	0.0002	23122.85	Response	R128
92.9958	0	23249.95	n/a	QRS
93.036	0.0002	23260	SyncStatus	Sync On
93.0776	0.0002	23270.4	Stimulus	S  5
93.9258	0	23482.45	n/a	QRS
94.0784	0.0002	23520.6	Stimulus	S  5
94.5874	0.0002	23647.85	Response	R128
94.8358	0	23709.95	n/a	QRS
95.036	0.0002	23760	SyncStatus	Sync On
95.0784	0.0002	23770.6	Stimulus	S  5
95.7058	0	23927.45	n/a	QRS
96.0784	0.0002	24020.6	Stimulus	S  5
96.5558	0	24139.95	n/a	QRS
96.6874	0.0002	24172.85	Response	R128
97.036	0.0002	24260	SyncStatus	Sync On
97.0816	0.0002	24271.4	Stimulus	S  5
97.3758	0	24344.95	n/a	QRS
98.0866	0.0002	24522.65	Stimulus	S  5
98.2158	0	24554.95	n/a	QRS
98.7874	0.0002	24697.85	Response	R128
99.036	0.0002	24760	SyncStatus	Sync On
99.0866	0.0002	24772.65	Stimulus	S  5
99.1058	0	24777.45	n/a	QRS
100.0158	0	25004.95	n/a	QRS
100.0866	0.0002	25022.65	Stimulus	S  5
100.8874	0.0002	25222.85	Response	R128
100.9258	0	25232.45	n/a	QRS
101.036	0.0002	25260	SyncStatus	Sync On
101.0866	0.0002	25272.65	Stimulus	S  5
101.7858	0	25447.45	n/a	QRS
102.0864	0.0002	25522.6	Stimulus	S  5
102.6358	0	25659.95	n/a	QRS
102.9874	0.0002	25747.85	Response	R128
103.036	0.0002	25760	SyncStatus	Sync On
103.088	0.0002	25773	Stimulus	S  5
103.4658	0	25867.45	n/a	QRS
104.0886	0.0002	26023.15	Stimulus	S  5
104.2958	0	26074.95	n/a	QRS
105.036	0.0002	26260	SyncStatus	Sync On
105.0874	0.0002	26272.85	Response	R128
105.0896	0.0002	26273.4	Stimulus	S  5
105.1258	0	26282.45	n/a	QRS
105.9858	0	26497.45	n/a	QRS
106.0886	0.0002	26523.15	Stimulus	S  5
106.8458	0	26712.45	n/a	QRS
107.036	0.0002	26760	SyncStatus	Sync On
107.0916	0.0002	26773.9	Stimulus	S  5
107.1874	0.0002	26797.85	Response	R128
107.7258	0	26932.45	n/a	QRS
108.0896	0.0002	27023.4	Stimulus	S  5
108.6258	0	27157.45	n/a	QRS
109.036	0.0002	27260	SyncStatus	Sync On
109.0926	0.0002	27274.15	Stimulus	S  5
109.2874	0.0002	27322.85	Response	R128
109.5158	0	27379.95	n/a	QRS
110.0926	0.0002	27524.15	Stimulus	S  5
110.3858	0	27597.45	n/a	QRS
111.036	0.0002	27760	SyncStatus	Sync On
111.0946	0.0002	27774.65	Stimulus	S  5
111.2258	0	27807.45	n/a	QRS
111.3874	0.0002	27847.85	Response	R128
112.0658	0	28017.45	n/a	QRS
112.0886	0.0002	28023.15	Stimulus	S  5
112.9358	0	28234.95	n/a	QRS
113.036	0.0002	28260	SyncStatus	Sync On
113.0974	0.0002	28275.35	Stimulus	S  5
113.4874	0.0002	28372.85	Response	R128
113.8158	0	28454.95	n/a	QRS
114.1024	0.0002	28526.6	Stimulus	S  5
114.6858	0	28672.45	n/a	QRS
115.036	0.0002	28760	SyncStatus	Sync On
115.1024	0.0002	28776.6	Stimulus	S  5
115.5458	0	28887.45	n/a	QRS
115.5874	0.0002	28897.85	Response	R128
116.1022	0.0002	29026.55	Stimulus	S  5
116.4258	0	29107.45	n/a	QRS
117.036	0.0002	29260	SyncStatus	Sync On
117.1022	0.0002	29276.55	Stimulus	S  5
117.3558	0	29339.95	n/a	QRS
117.6874	0.0002	29422.85	Response	R128
118.1028	0.0002	29526.7	Stimulus	S  5
118.3258	0	29582.45	n/a	QRS
119.036	0.0002	29760	SyncStatus	Sync On
119.1028	0.0002	29776.7	Stimulus	S  5
119.2558	0	29814.95	n/a	QRS
119.7874	0.0002	29947.85	Response	R128
120.103	0.0002	30026.75	Stimulus	S  5
120.1658	0	30042.45	n/a	QRS
120.9858	0	30247.45	n/a	QRS
121.036	0.0002	30260	SyncStatus	Sync On
121.1046	0.0002	30277.15	Stimulus	S  5
121.8158	0	30454.95	n/a	QRS
121.8874	0.0002	30472.85	Response	R128
122.102	0.0002	30526.5	Stimulus	S  5
122.6558	0	30664.95	n/a	QRS
123.036	0.0002	30760	SyncStatus	Sync On
123.1082	0.0002	30778.05	Stimulus	S  5
123.5458	0	30887.45	n/a	QRS
123.9874	0.0002	30997.85	Response	R128
124.1088	0.0002	31028.2	Stimulus	S  5
124.4858	0	31122.45	n/a	QRS
125.036	0.0002	31260	SyncStatus	Sync On
125.1096	0.0002	31278.4	Stimulus	S  5
125.4658	0	31367.45	n/a	QRS
126.0874	0.0002	31522.85	Response	R128
126.1088	0.0002	31528.2	Stimulus	S  5
126.5358	0	31634.95	n/a	QRS
127.036	0.0002	31760	SyncStatus	Sync On
127.1118	0.0002	31778.95	Stimulus	S  5
127.5558	0	31889.95	n/a	QRS
128.1108	0.0002	32028.7	Stimulus	S  5
128.1874	0.0002	32047.85	Response	R128
128.5458	0	32137.45	n/a	QRS
129.036	0.0002	32260	SyncStatus	Sync On
129.1118	0.0002	32278.95	Stimulus	S  5
129.4658	0	32367.45	n/a	QRS
130.1118	0.0002	32528.95	Stimulus	S  5
130.2874	0.0002	32572.85	Response	R128
130.3458	0	32587.45	n/a	QRS
131.036	0.0002	32760	SyncStatus	Sync On
131.118	0.0002	32780.5	Stimulus	S  5
131.2458	0	32812.45	n/a	QRS
132.118	0.0002	33030.5	Stimulus	S  5
132.1558	0	33039.95	n/a	QRS
132.3874	0.0002	33097.85	Response	R128
133.036	0.0002	33260	SyncStatus	Sync On
133.0658	0	33267.45	n/a	QRS
133.1188	0.0002	33280.7	Stimulus	S  5
133.9558	0	33489.95	n/a	QRS
134.1188	0.0002	33530.7	Stimulus	S  5
134.4874	0.0002	33622.85	Response	R128
134.8158	0	33704.95	n/a	QRS
135.036	0.0002	33760	SyncStatus	Sync On
135.1188	0.0002	33780.7	Stimulus	S  5
135.6558	0	33914.95	n/a	QRS
136.1188	0.0002	34030.7	Stimulus	S  5
136.5258	0	34132.45	n/a	QRS
136.5874	0.0002	34147.85	Response	R128
137.036	0.0002	34260	SyncStatus	Sync On
137.1178	0.0002	34280.45	Stimulus	S  5
137.4158	0	34354.95	n/a	QRS
138.1208	0.0002	34531.2	Stimulus	S  5
138.3858	0	34597.45	n/a	QRS
138.6874	0.0002	34672.85	Response	R128
139.036	0.0002	34760	SyncStatus	Sync On
139.122	0.0002	34781.5	Stimulus	S  5
139.2858	0	34822.45	n/a	QRS
140.122	0.0002	35031.5	Stimulus	S  5
140.1458	0	35037.45	n/a	QRS
140.7874	0.0002	35197.85	Response	R128
141.0058	0	35252.45	n/a	QRS
141.036	0.0002	35260	SyncStatus	Sync On
141.126	0.0002	35282.5	Stimulus	S  5
141.8958	0	35474.95	n/a	QRS
142.119	0.0002	35530.75	Stimulus	S  5
142.7758	0	35694.95	n/a	QRS
