onset	duration	sample	type	value
248.23	0.0002	62058.5	Stimulus	S  5
248.4258	0	62107.45	n/a	QRS
249.036	0.0002	62260	SyncStatus	Sync On
249.2338	0.0002	62309.45	Stimulus	S  5
249.3758	0	62344.95	n/a	QRS
249.9874	0.0002	62497.85	Response	R128
250.234	0.0002	62559.5	Stimulus	S  5
250.2658	0	62567.45	n/a	QRS
251.036	0.0002	62760	SyncStatus	Sync On
251.1258	0	62782.45	n/a	QRS
251.236	0.0002	62810	Stimulus	S  5
251.9458	0	62987.45	n/a	QRS
252.0874	0.0002	63022.85	Response	R128
252.2292	0.0002	63058.3	Stimulus	S  5
252.7858	0	63197.45	n/a	QRS
253.036	0.0002	63260	SyncStatus	Sync On
253.239	0.0002	63310.75	Stimulus	S  5
253.6558	0	63414.95	n/a	QRS
254.1874	0.0002	63547.85	Response	R128
254.2392	0.0002	63560.8	Stimulus	S  5
254.5558	0	63639.95	n/a	QRS
254.5772	0.0002	63645.3	Stimulus	S 99
255.036	0.0002	63760	SyncStatus	Sync On
255.4558	0	63864.95	n/a	QRS
256.2858	0	64072.45	n/a	QRS
256.2874	0.0002	64072.85	Response	R128
257.036	0.0002	64260	SyncStatus	Sync On
257.0958	0	64274.95	n/a	QRS
257.9058	0	64477.45	n/a	QRS
258.3874	0.0002	64597.85	Response	R128
258.7758	0	64694.95	n/a	QRS
259.036	0.0002	64760	SyncStatus	Sync On
259.5958	0	64899.95	n/a	QRS
260.134	0.74	65034.5	n/a	boundary
260.17	0.492	65043.5	n/a	boundary
260.8438	0	65211.95	n/a	QRS
261.6838	0	65421.95	n/a	QRS
261.804	0.0002	65452	SyncStatus	Sync On
262.5238	0	65631.95	n/a	QRS
263.3638	0	65841.95	n/a	QRS
263.804	0.0002	65952	SyncStatus	Sync On
264.2138	0	66054.45	n/a	QRS
265.0638	0	66266.95	n/a	QRS
265.804	0.0002	66452	SyncStatus	Sync On
265.8938	0	66474.45	n/a	QRS
266.7938	0	66699.45	n/a	QRS
267.59	0.772	66898.5	n/a	boundary
267.9418	0	66986.45	n/a	QRS
268.8018	0	67201.45	n/a	QRS
269.032	0.0002	67259	SyncStatus	Sync On
269.6118	0	67403.95	n/a	QRS
270.4018	0	67601.45	n/a	QRS
271.032	0.0002	67759	SyncStatus	Sync On
271.2118	0	67803.95	n/a	QRS
272.0318	0	68008.95	n/a	QRS
